Recipe Name,source,link,minutes_to_prepare,cuisine,Ingredients: Produce,Ingredients: Spices and Seasonings,Ingredients: Condiments,Ingredients: Pasta and Rice,Ingredients: Beverages,Ingredients: Ethnic Foods,Ingredients: Bakery/Bread,Ingredients: Frozen,Ingredients: Refrigerated,Ingredients: Alcoholic Beverages,Ingredients: Pantry,Ingredients: Dairy
"Fusilli With Zucchini Flowers, Ricotta and Saffron",Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/FPKPM74C/fusilli-with-zucchini-flowers-ricotta-and-saffron,45,,"bell pepper,red onion,zucchini",,,,,saffron,,,,,"almonds,cooking oil",ricotta cheese
Gulasch,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/YGWX47HZ/gulasch-for-mucka,45,,"bay leaf,cucumber,onion,parsley,red bell pepper,potatoes","caraway,caraway seeds,chili flakes,sweet paprika",,tomato paste,,corn flour,,,,,,
Chia Yogurt Apricot Bowl,Jen West,http://www.pinkwhen.com/chia-yogurt-apricot-bowl/,45,,,,,,,,,,,,"chia seeds,honey,nuts","plain greek yogurt,kefir"
Ham and Swiss Panini With Mushrooms and Kale,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,https://www.foodista.com/recipe/BGVRBNNT/ham-and-swiss-panini-with-mushrooms-and-kale,45,,"mushroom,kale,thyme",,dijon mustard,,,,whole wheat bread,,,,,low fat swiss cheese
Baked Rigatoni,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/78KGC5QF/baked-rigatoni,45,,"broccoli,tomatoes","dried basil,fennel seeds",,"pasta sauce,rigatoni",,,,vegetable burger,,,,shredded mozzarella cheese
One Pot Veggie Quinoa,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/RD2F8BLT/one-pot-veggie-quinoa,45,,"broccoli florets,carrots,cauliflower florets,garlic,green peppers,oregano,roma tomatoes,white mushrooms,yellow onions","dried basil,pepper",ketchup,quinoa,water,,,,,,olive oil,burrata
North by Northwest Couscous Salad,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,https://www.foodista.com/recipe/8S3RLBHN/north-by-northwest-couscous-salad,30,,"lemon zest,lemon juice,apricots,carrots,celery,red onion,parsley",black pepper,dijon mustard,pearl couscous,,,,,,,"canned garbanzo beans,olive oil,sugar,raisins,hazelnuts",
Italian Steamed Artichokes,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/J5VBFYJB/italian-steamed-artichokes,35,Mediterranean,"artichoke,bay leaf,garlic clove,oregano","coriander seeds,dried basil",,,,,,,,,,
Baked Stuffed Potatoes (Tandoori Potatoes),Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/CYSN7KPB/baked-stuffed-potatoes-tandoori-potatoes,45,,"fresh coriander leaves,garlic paste,lemon juice,potatoes","coriander,fenugreek leaves,rajma masala",,,,"garam masala,garam masala,ginger paste",,,,,"milk powder,flour,olive oil","cottage cheese,low fat yogurt"
"Creamy, Healthy Asparagus Soup with Avocado and Fennel",Foodista.com – The Cooking Encyclopedia Everyone Can Edit,https://www.foodista.com/recipe/G532D7M3/creamy-healthy-asparagus-soup-with-avocado-and-fennel,45,,"leek,fennel bulb,asparagus,lemon thyme,lemon,avocado",black pepper,,,,,,,,,"bone broth,olive oil",greek yogurt
Quinoa Salad with Barberries & Nuts,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,https://www.foodista.com/recipe/PBQJCDDG/quinoa-salad-with-barberries-nuts,30,,mint,coriander,,quinoa,water,,,,,,"olive oil,dried barberries,pistachios,slivered almonds",
"fennel, Peppers, Lettuce Salad",Foodista.com – The Cooking Encyclopedia Everyone Can Edit,https://www.foodista.com/recipe/VNXX86Q3/fennel-peppers-lettuce-salad,45,,"lettuce,lettuce,fennel bulb,green bell pepper,red bell pepper,cucumber",rosemary,,,,,,,,,"olives,olive oil",
Red Quinoa and Roasted Cauliflower Salad,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,https://www.foodista.com/recipe/22QVP2CY/red-quinoa-and-cauliflower-salad,45,,"cauliflower,green onions,parsley,lemon",,,quinoa,,,,,,,"walnuts,dried apricots,olive oil",feta cheese
Ethiopian Lentil Curry,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/VND4VYMV/ethiopian-lentil-curry,75,Indian,"cauliflower,garlic cloves,onion,peas",rajma masala,,"brown lentils,tomato paste",,amchar masala,,,,,"vegetable oil,canned tomatoes",plain yogurt
Mung Bean Sprout and Quinoa Salad,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/WFDCWVHF/mung-bean-sprout-and-quinoa-salad,45,,"basil,bell peppers,garlic,onions,oregano,spinach,tomatoes",dried cilantro,,cooked quinoa,,mung beans,,,,,"apple cider vinegar,coconut oil",
Cauliflower Chickpea Stew,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,https://www.foodista.com/recipe/BQBJ3XVS/cauliflower-chickpea-stew,45,,"garlic,onion,garlic,ginger,chili,sweet potatoes,juice of lemon,cauliflower","tumeric,Salt & Pepper,cinnamon,paprika",,brown rice,"water,water",garam masala,,,,,"olive oil,canned chickpeas,tomato puree,canned tomatoes",
Baked Ratatouille,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/24CCF5WL/baked-ratatouille,45,Mediterranean,"eggplant,fresh basil,garlic cloves,green bell peppers,onion,tomatoes,zucchini",,,,,,,,,,"red wine vinegar,olive oil",feta cheese
Black Beans & Brown Rice With Garlicky Kale,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/DXWPRKVM/black-beans-brown-rice-with-garlicky-kale,45,,kale,"cumin powder,dried garlic,pepper",,cooked brown rice,,white sesame seeds,,,,,"hemp seeds,canned black beans,olive oil",
Hummus Wrap With Carrots and Cucumbers,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/68PJV275/hummus-wrap-with-carrots-and-cucumbers,45,Middle Eastern,"carrots,cucumber,garlic clove,lemon juice,lettuce",,,,,tahini paste,tortilla,,hummus,,"canned garbanzo beans,black olives",
"Lentil, Sweet Potato and Spinach Soup",Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/3CY5B52M/lentil-sweet-potato-and-spinach-soup,240,,"bay leaves,carrots,garlic,spinach,sweet potato,yellow onion","cumin,curry powder,pepper",,lentils,water,,,,,,,
"Spinach, Tomato & Onion Couscous",Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/SVZDH8S4/spinach-tomato-onion-couscous,45,,"pine nuts,red onion,spinach,tomatoes",,,whole-wheat couscous,water,,,,,,olive oil,feta
"Red Quinoa, Kale, Blood Orange and Pom Salad With Meyer Lemon Vinaigrette",Foodista.com – The Cooking Encyclopedia Everyone Can Edit,https://www.foodista.com/recipe/QRH8PJRQ/red-quinoa-kale-blood-orange-and-pom-salad-with-meyer-lemon-vinaigrette,45,,"juice of lemon,shallots,kale,lemon zest,blood oranges,pomegranate seeds,juice of lemon,meyer lemon juice",,,quinoa,"water,blood orange juice",,,,,,"canned garbanzo beans,honey,olive oil,vegetable stock,apple cider vinegar",
Pierogi Casserole,Jen West,http://www.pinkwhen.com/pierogi-casserole/,45,Eastern European,"onions,white potatoes",,,wide egg noodles,,,,,,,,"butter,milk sharp cheddar cheese"
"Butternut Squash, Red Onion and Chickpea Salad",Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/8L5VTFG2/recipe-for-roast-butternut-squash-red-onion-and-chickpea-salad,45,,"butternut squash,flat leaf parsley,garlic,juice of lemon,mint leaves,red onions,red peppers,spring onions","allspice,cayenne pepper,paprika,pepper",,,,,,,,,"honey,canned chickpeas,olive oil",feta cheese
Simple Healthy Snacks UNDER 100 Calories,Jen West,http://www.pinkwhen.com/snacks-under-100-calories/,45,,"apple,baby carrots,banana,kale,kiwis,salad mix,strawberries",,,,,,,,,,"pecans,olives,popcorn,pistachios","egg,swiss cheese"
Berry-licious Smoothie Bowl,Jen West,http://www.pinkwhen.com/berry-licious-smoothie-bowl-recipe/,45,,"kiwi,raspberries,strawberries",,,,,,,,,,almond,"milk,plain greek yogurt"
Italian Tomato and Mozzarella Caprese,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/MK4TM4WZ/italian-tomato-and-mozzarella-caprese,45,Mediterranean,"bell pepper,fresh basil leaves,oregano leaves,vine ripened tomatoes",,,,,,,,,,"olive oil,balsamic vinegar",skim milk mozzarella
Quinoa Stuffed Mushrooms,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/HZTZ37BH/quinoa-stuffed-mushrooms,45,,"garlic,onion,orange bell pepper,peas,portabella mushrooms,tomato","garlic powder,ground pepper",,quinoa,water,,,,,,"olive oil,cooking oil",
Healthy Southwestern Oatmeal,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/JMV2JK3H/healthy-southwestern-oatmeal,15,,scallions,chili powder,,,,,,,,,old fashioned oats,"egg whites,reduced fat shredded cheddar cheese"
Black Beans & Green Peas With Rice & Barley,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/DZFGBHGW/black-beans-green-peas-with-rice-barley,30,,"celery,garlic,parsley,peas,scallions",ground pepper,,"barley,rice",,,,,,,"jalapeno,canned black beans,olive oil",
Spicy Roasted Chickpeas,TheHungryHood,http://spoonacular.com/-1390627460234,45,,,"cayenne pepper,coriander,cumin,paprika",,chickpeas,,,,,,,olive oil,
Noodles and Veggies With Peanut Sauce,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/5VRHVVWQ/noodles-and-veggies-with-peanut-sauce,30,,"carrots,cucumber,garlic cloves,green onions",cayenne pepper,,spaghetti noodles,water,"sesame oil,soy sauce",,,,,"white distilled vinegar,sugar,peanuts",
Mushroom Tofu Stew,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/TKTPMBJF/mushroom-tofu-stew,45,,"carrots,garlic,mushrooms,onion",,,,,,,,extra firm tofu,beer,broth,
Chunky Two-Bean Chili,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/3RLLDMHY/chunky-two-bean-chili,45,American,"avocado,bay leaf,chili,fresh cilantro,garlic cloves,oregano,red bell pepper,shallot,tomatillos","chili powder,ground coriander,ground cumin,ground pepper",,"black beans,black beans",water,,flour tortillas,,,,"olive oil,canned red kidney beans,bittersweet chocolate chips,canned tomatoes","monterey jack cheese,sour cream"
Banana Chocolate Pudding,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/GQNT2SWV/banana-chocolate-roundup,45,,"avocado,bananas",,,,,,,,,,"peanut butter,cocoa powder",
Yogurt Parfait,Afrolems,http://www.afrolems.com/2016/08/06/yogurt-parfait-recipe/,15,,"fresh fruit,fresh mint",,,,,,,,,,"honey,cereal",plain non fat yogurt
Rustic Pasta with Chunky Vegetables,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,https://www.foodista.com/recipe/KZ73Y5YM/rustic-pasta-with-chunky-vegetables,75,,"zucchini,carrots,red onion,cremini mushrooms,asparagus spears,lemon juice,fresh thyme,fresh rosemary,shallots,ginger,garlic",black pepper,,whole wheat penne,,saffron threads,,,,,"extra virgin olive oil,canned tomatoes,balsamic vinegar",mascarpone cheese
Thai Savory Brown Fried Rice,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,https://www.foodista.com/recipe/7C3JZV44/thai-savory-brown-fried-rice,45,Chinese,"garlic cloves,chili peppers,coconut,fresh green beans,bok choy,lime wedges",,,brown rice,,,,,,,"bragg's liquid aminos,cashew nuts,extra virgin olive oil,stevia,flax egg,apple cider vinegar",
Spaghetti With Pesto Trapanese,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,https://www.foodista.com/recipe/VWV2WXBJ/spaghetti-with-pesto-trapanese,45,,"pine nuts,garlic cloves,tomatoes,basil",,,spaghetti,,,,,,,"extra virgin olive oil,almonds",pecorino
Falafels With Tahini Sauce,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,https://www.foodista.com/recipe/38LTN2R5/falafels-with-tahini-sauce,45,,"onion,garlic,cilantro,parsley,lemons,garlic","cumin,red pepper flakes",,mat beans,water,"tahini,tahini paste",,,,,baking powder flour,
Farm Fresh Vegetable Stew,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,https://www.foodista.com/recipe/74C4RHHH/farm-fresh-vegetable-stew,45,,"garlic,onions,peppers,carrots,celery,eggplant,green beans,yellow squash,zucchini,tomatoes,fresh thyme leaves,oregano",cumin,,cooked brown lentils,,,,,,,"extra virgin olive oil,canned kidney beans",
Orecchiette With Sun-Dried and Fresh Cherry Tomatoes,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,https://www.foodista.com/recipe/MCX5NR68/orecchiette-with-sun-dried-and-fresh-cherry-tomatoes,45,,"cherry tomatoes,oregano,basil leaves","garlic powder,chili flakes",,orecchiette,,,,,,,"sun-dried tomatoes,olive oil",
Luscious Palak Paneer,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/WKQQKG5K/luscious-palak-paneer,30,Indian,"cloves garlic,ginger,green chilies,onion,spinach,tomatoes","cardamom powder,cinnamon powder,coriander powder,cumin powder,ground fennel,turmeric",,,water,,,,,,baking powder sunflower oil,paneer
Mughlai Malai Kofta Curry,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/HKVP8LCX/mughlai-malai-kofta-curry,45,Indian,"chillies,fresh cilantro,garlic paste,green chillies,onions,peas,potatoes","chilli powder,coriander powder,turmeric powder",,,,"garam masala,ginger paste",,,,,"milk powder,corn starch,golden raisins,tomato puree","paneer,milk half n half cream"
Potato Gnocchi With Kale and Mushrooms In A Goat Cheese Sauce,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,https://www.foodista.com/recipe/5VGBR8YR/potato-gnocchi-with-kale-and-mushrooms-in-a-goat-cheese-sauce,45,Mediterranean,"baking potatoes,mushrooms,kale",fresh nutmeg,,,,,,,,,"flour,olive oil","skim milk egg yolk,goat cheese"
Roll Up Eggplant Lasagna,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/42GML287/roll-up-eggplant-lasagna,45,Mediterranean,"bell pepper,eggplant,onion","italian seasoning,red pepper flakes",,"lasagna noodles,marinara sauce",,,,,,,olive oil,italian cheese
"Bulgur Wheat Salad with Chickpeas, Bell Peppers & Tomatoes",Foodista.com – The Cooking Encyclopedia Everyone Can Edit,https://www.foodista.com/recipe/YTTY6HD2/bulgur-wheat-salad-with-chickpeas-bell-peppers-tomatoes,30,,"bell pepper,orange pepper,bell pepper,spring onions,onion,juice of lime,cilantro",cumin,,bulgur,water,,,,,,"chickpeas,oil,honey",
Citrus and Asparagus Salad,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,https://www.foodista.com/recipe/C4235SZ6/citrus-and-asparagus-salad,45,,"red grapefruit,oranges,asparagus,lemon juice,shallot,fresh mint,bell pepper,greens",,,quinoa,,,,,,,"pepitas,olive oil",feta cheese
How Sweet It Is Sweet Potato Lasagne,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/LYPLYH8P/how-sweet-it-is-sweet-potato-lasagne,45,Mediterranean,"baby bella mushrooms,eggplants,sweet potatoes","curry powder,dried basil leaves,Salt & Pepper",,marinara sauce,,,,frozen spinach,,,"jalapenos,vegetable cooking oil","heavy cream,jack cheese"
"Roasted Peppers, Spinach & Feta Pizza",Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/LWCPWJ2L/roasted-peppers-spinach-feta-pizza,45,Mediterranean,"garlic,orange pepper,red onion,red bell pepper,spinach leaves,tomato",,,,,,flatbread,,,,,feta cheese
Summer Garlic Mushrooms and Mostaccioli,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,https://www.foodista.com/recipe/JRP5R2TQ/summer-garlic-mushrooms-and-mostaccioli,45,,"baby bella mushrooms,onion,garlic cloves,red bell pepper,fresh basil,lemon zest,herbes de provence",ground pepper,,mostaccioli pasta,,,,,,,"sun-dried tomatoes,olive oil",
Eggs Florentine,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/PNM2B3TH/eggs-florentine,45,,"lemon juice,spinach",cayenne pepper,,,water,,english muffins,,,,,butter eggs
Split Red Lentils With Basmati Rice and Daikon Relish,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,https://www.foodista.com/recipe/FVXZ26VY/split-red-lentils-with-basmati-rice-and-daikon-relish,45,,"onion,garlic cloves,orange bell pepper,daikon","tumeric,coriander powder,cayenne pepper",pickle relish,"red lentils,basmati rice,basmati rice",water,"plum vinegar,gomasio",,,,,olive oil,
Crispy Baked Green Bean Fries,Jen West,http://www.pinkwhen.com/crispy-baked-green-bean-fries/,45,American,fresh green beans,"black pepper,cayenne pepper,garlic powder,onion powder",,,,,,,,,,eggs
Couscous with fried vegetables,qqilihq,http://spoonacular.com/-1380228522148,30,,"carrot,chilli,bell pepper,zucchini",paprika,,couscous,,,,,,,olive oil,feta cheese
Falafel Burger,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,https://www.foodista.com/recipe/DYNQRHMK/falafel-burger,45,Middle Eastern,"garlic,fresh parsley,red onion,cucumber,tomato",,sriracha sauce,,,tahini,hamburger buns,,,,"peanut oil,canned chickpeas",tzatziki
Instant Pot Curried Lentil Soup,coffeebean,https://spoonacular.com/site-1579268888674,45,,"carrots,onion,cilantro,fresh ginger",curry powder,,red lentils,,ghee,,,,,"coconut milk,low sodium vegetable broth",
Eggplant & Artichoke Heart Galettes,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/LD5GLFXJ/eggplant-artichoke-heart-galettes,45,,"eggplant,fresh rosemary,garlic cloves,bell pepper",chili flakes,,,,,,,,,artichoke hearts,eggs goat cheese
Protein Packed Carrot Muffins,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/PDQPZ4WL/protein-packed-carrot-muffins,45,,"carrots,coconut,fruit,lemon zest",Spice Rub,,,,,,,tofu,,"baking soda milk powder,coconut oil,vanilla extract,ground flaxseed,baking powder,walnut pieces",eggs
Couscous Biryani,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/G2LGMJ8R/couscous-biryani-pulao,45,Indian,"broccoli,carrots,fresh cilantro,fresh mint,garlic cloves,green chilies,onion,peas","chili powder,cinnamon stick,curry powder,green cardamom pods,turmeric",,couscous,,garam masala,,,,,roasted peanuts,
Black Bean and Cheese Stuffed Bell Peppers,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/TGTLYH2Q/black-bean-and-cheese-stuffed-bell-peppers,45,,"corn,onions,red peppers",cumin,,"cooked brown rice,salsa",,,,,,,canned black beans,shredded cheddar
Lentils and Apples with Acorn Squash,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,https://www.foodista.com/recipe/DVZ7L3WL/lentils-and-apples-with-acorn-squash,45,,"apple,acorn squash,parsley","allspice,ground ginger,garlic powder",,brown lentils,water,soy sauce,,,,,"vegetable oil,maple syrup,red wine vinegar",
Indian Spiced Red Lentil Soup,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,https://www.foodista.com/recipe/N3PKYN5Q/indian-spiced-red-lentil-soup,45,Indian,"cilantro,white onion,garlic cloves,fresh ginger,serrano chilis,tomatoes","turmeric,coriander seeds,cumin seeds",,red lentils,water,garam masala,,,,,"vegetable stock cubes,grapeseed oil",
GF Vegan Creamy Broccoli Pasta,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,https://www.foodista.com/recipe/MZQCXKL2/gf-vegan-creamy-broccoli-pasta,35,,"bell pepper,broccoli","nutritional yeast,dried parsley",,gluten-free fusilli,"water,water",,,,,,"full-fat coconut milk,potato starch",soy buttery spread
Spanakopita (Greek Spinach Pie),Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/V37QNNDY/spanakopita-greek-spinach-pie,45,Mediterranean,"fresh dill,onions",,,,,,,frozen spinach,phyllo dough,,"vegetable oil,flour,olive oil","eggs,feta cheese"
Polenta gnocchi with savoy cabbage and cheese,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/WWSDXGJH/polenta-gnocchi-with-savoy-cabbage-and-cheese,45,Mediterranean,"garlic,sage,savoy cabbage",,,,,,,,cooked polenta,,,"butter fontina cheese,egg"
Big Batch Smoothie Bowl,coffeebean,https://spoonacular.com/site-1552846959904,15,,"strawberries,blueberries,bananas,pomegranate",,,,,,,,,,"walnuts,pumpkin seeds,whey protein,flaxseed,granola",
Drunken Noodles (Pad Kee Mao),Foodista.com – The Cooking Encyclopedia Everyone Can Edit,https://www.foodista.com/recipe/3BKDFD6S/drunken-noodles-pad-kee-mao,45,Thai,"zucchini,japanese eggplant,broccoli florets,carrot,garlic,chilies,chili,basil leaves",peppercorns,bbq sauce,rice noodles,water,"tamari,soy sauce",,,tofu,,"braggs liquid aminos,stevia,vinegar,canola oil",
Meyer Lemon Ricotta Pancakes with Blackberry Compote,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/N3C4RBBB/meyer-lemon-ricotta-pancakes-with-blackberry-compote,45,,"blackberries,lemon zest,lemon zest,meyer lemon juice",,,,water,,,,,,all purpose flour granulated sugar,"butter,ricotta,eggs"
Butternut Squash Soup with Fresh Goat Cheese,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,https://www.foodista.com/recipe/WCCFJNLJ/butternut-squash-soup-with-fresh-goat-cheese,45,,butternut squash,,,,water,,,,,,,"milk,goat cheese"
Indian Lentil Dahl,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/XMH8PZ48/indian-lentil-dahl,45,Indian,"cilantro,fresh ginger,garlic cloves,lime juice,onion,plum tomatoes",,,red lentils,water,garam masala,,,,,"coconut milk,canola oil",
Lemon-Pepper Fettucine Alfredo,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,https://www.foodista.com/recipe/JYWSRGLY/lemon-pepper-fettucine-alfredo,45,Mediterranean,lemon zest,"lemon pepper,nutmeg,black pepper",,,,,,,,,,"butter heavy cream,pecorino romano cheese"
Caramel Peanut Fudge Cake,Foodista.com – The Cooking Encyclopedia Everyone Can Edit,http://www.foodista.com/recipe/DFQVM7MF/caramel-peanut-cake,45,,,,,,water,,,,,rum,"cocoa,almonds,sugar,peanuts",eggs cream
